site,datetime,variable,values
Archery,2019-10-06T09:45:00Z,do_mg,8.161014325464231
Archery,2019-10-06T09:45:00Z,orp,205.66629874979844
Archery,2019-10-06T09:45:00Z,ph,7.924220143980085
Archery,2019-10-06T09:45:00Z,turbidity,3.6990994093537037
Archery,2019-10-06T10:00:00Z,depth_ft,3.1715312875602453
Archery,2019-10-06T10:00:00Z,dissolved_oxygen_pct,75.39204892243238
Archery,2019-10-06T10:00:00Z,do_mg,8.306403730502154
Archery,2019-10-06T10:00:00Z,orp,206.28555564375114
Archery,2019-10-06T10:00:00Z,ph,7.946936298681235
Archery,2019-10-06T10:00:00Z,turbidity,3.795075985968545
Archery,2019-10-06T10:15:00Z,depth_ft,3.1709929550582627
Archery,2019-10-06T10:15:00Z,dissolved_oxygen_pct,76.93183256589477
Archery,2019-10-06T10:15:00Z,do_mg,8.460298165911727
Archery,2019-10-06T10:15:00Z,orp,206.5698831533043
Archery,2019-10-06T10:15:00Z,ph,7.975978822616167
Archery,2019-10-06T10:15:00Z,turbidity,3.8931683223099465
Archery,2019-10-06T10:30:00Z,depth_ft,3.1719460382778317
Archery,2019-10-06T10:30:00Z,dissolved_oxygen_pct,78.49411126999519
Archery,2019-10-06T10:30:00Z,do_mg,8.614371773805033
Archery,2019-10-06T10:30:00Z,orp,206.91153808790372
Archery,2019-10-06T10:30:00Z,ph,8.009649317095178
Archery,2019-10-06T10:30:00Z,turbidity,3.92814645320147
Archery,2019-10-06T10:45:00Z,depth_ft,3.1729074203951186
Archery,2019-10-06T10:45:00Z,dissolved_oxygen_pct,80.00655726366918
Archery,2019-10-06T10:45:00Z,do_mg,8.760678292848407
Archery,2019-10-06T10:45:00Z,orp,207.26310227167156
Archery,2019-10-06T10:45:00Z,ph,8.046980890807436
Archery,2019-10-06T10:45:00Z,turbidity,3.904202462130666
Archery,2019-10-06T11:00:00Z,depth_ft,3.1732736842032834
Archery,2019-10-06T11:00:00Z,dissolved_oxygen_pct,81.47113091220118
Archery,2019-10-06T11:00:00Z,do_mg,8.898490294700078
Archery,2019-10-06T11:00:00Z,orp,207.0147691887493
Archery,2019-10-06T11:00:00Z,ph,8.088638881703224
Archery,2019-10-06T11:00:00Z,turbidity,3.618631805032596
Archery,2019-10-06T11:15:00Z,depth_ft,3.1742656344902813
Archery,2019-10-06T11:15:00Z,dissolved_oxygen_pct,82.94759883511847
Archery,2019-10-06T11:15:00Z,do_mg,9.033790696214183
Archery,2019-10-06T11:15:00Z,orp,205.49068650195602
Archery,2019-10-06T11:15:00Z,ph,8.135658068694108
Archery,2019-10-06T11:15:00Z,turbidity,2.99130733125507
Archery,2019-10-06T11:30:00Z,depth_ft,3.1763656321154383
Archery,2019-10-06T11:30:00Z,dissolved_oxygen_pct,84.50940277291821
Archery,2019-10-06T11:30:00Z,do_mg,9.173987222994791
Archery,2019-10-06T11:30:00Z,orp,202.7049708552085
Archery,2019-10-06T11:30:00Z,ph,8.187962063090417
Archery,2019-10-06T11:30:00Z,turbidity,2.413694055437306
Archery,2019-10-06T11:45:00Z,depth_ft,3.178344584862791
Archery,2019-10-06T11:45:00Z,dissolved_oxygen_pct,86.21355751800209
Archery,2019-10-06T11:45:00Z,do_mg,9.324505586490083
Archery,2019-10-06T11:45:00Z,orp,199.3809468572575
Archery,2019-10-06T11:45:00Z,ph,8.242193720367574
Archery,2019-10-06T11:45:00Z,turbidity,2.262396303842602
Archery,2019-10-06T12:00:00Z,depth_ft,3.179885225013588
Archery,2019-10-06T12:00:00Z,dissolved_oxygen_pct,88.04215278027542
Archery,2019-10-06T12:00:00Z,do_mg,9.484134471984826
Archery,2019-10-06T12:00:00Z,orp,196.26863242948284
Archery,2019-10-06T12:00:00Z,ph,8.29171446475166
Archery,2019-10-06T12:00:00Z,turbidity,2.5090554946561188
Archery,2019-10-06T12:15:00Z,depth_ft,3.182669599125507
Archery,2019-10-06T12:15:00Z,dissolved_oxygen_pct,89.87003382708845
Archery,2019-10-06T12:15:00Z,do_mg,9.642165208780087
Archery,2019-10-06T12:15:00Z,orp,193.65116286551137
Archery,2019-10-06T12:15:00Z,ph,8.331144498195092
Archery,2019-10-06T12:15:00Z,turbidity,2.828113405988278
Archery,2019-10-06T12:30:00Z,depth_ft,3.1885684065452353
Archery,2019-10-06T12:30:00Z,dissolved_oxygen_pct,91.56317284971911
Archery,2019-10-06T12:30:00Z,do_mg,9.786552489960803
Archery,2019-10-06T12:30:00Z,orp,191.47998568075485
Archery,2019-10-06T12:30:00Z,ph,8.360433447800162
Archery,2019-10-06T12:30:00Z,turbidity,2.8206040480847987
Archery,2019-10-06T12:45:00Z,depth_ft,3.198689441352025
Archery,2019-10-06T12:45:00Z,dissolved_oxygen_pct,93.129281535449607
Archery,2019-10-06T12:45:00Z,do_mg,9.91770143905541
Archery,2019-10-06T12:45:00Z,orp,189.68865390243482
Archery,2019-10-06T12:45:00Z,ph,8.384812610627696
Archery,2019-10-06T12:45:00Z,turbidity,2.441833796998665
Archery,2019-10-06T13:00:00Z,depth_ft,3.214053265222684
Archery,2019-10-06T13:00:00Z,dissolved_oxygen_pct,94.67361928153173
Archery,2019-10-06T13:00:00Z,do_mg,10.045123861323946
Archery,2019-10-06T13:00:00Z,orp,188.266867143416
Archery,2019-10-06T13:00:00Z,ph,8.410747596680299
Archery,2019-10-06T13:00:00Z,turbidity,2.1551512663933066
Archery,2019-10-06T13:15:00Z,depth_ft,3.234583102399201
Archery,2019-10-06T13:15:00Z,dissolved_oxygen_pct,96.22101178021656
Archery,2019-10-06T13:15:00Z,do_mg,10.17099048099865
Archery,2019-10-06T13:15:00Z,orp,187.10784275722642
Archery,2019-10-06T13:15:00Z,ph,8.441759180376202
Archery,2019-10-06T13:15:00Z,turbidity,2.4523008183496664
Archery,2019-10-06T13:30:00Z,depth_ft,3.2565841421020143
Archery,2019-10-06T13:30:00Z,dissolved_oxygen_pct,97.71305007122224
Archery,2019-10-06T13:30:00Z,do_mg,10.289518486268525
Archery,2019-10-06T13:30:00Z,orp,185.9136007696653
Archery,2019-10-06T13:30:00Z,ph,8.478110703330525
Archery,2019-10-06T13:30:00Z,turbidity,3.5427191226700234
Archery,2019-10-06T13:45:00Z,depth_ft,3.2738516476711057
Archery,2019-10-06T13:45:00Z,dissolved_oxygen_pct,99.10598971206375
Archery,2019-10-06T13:45:00Z,do_mg,10.396211187248579
Archery,2019-10-06T13:45:00Z,orp,184.47078687606677
Archery,2019-10-06T13:45:00Z,ph,8.517978867149722
Archery,2019-10-06T13:45:00Z,turbidity,5.094546537905991
Archery,2019-10-06T14:00:00Z,depth_ft,3.2824330823693795
Archery,2019-10-06T14:00:00Z,dissolved_oxygen_pct,100.33348506643176
Archery,2019-10-06T14:00:00Z,do_mg,10.484810559456044
